name,location,rating,review_count,price,categories,coordinates,latitude,longitude
Gordo Taqueria,"2252 Clement St San Francisco, CA 94121",3.5,720,$,Mexican,"{'latitude': 37.78232, 'longitude': -122.48364}",37.78232,-122.48364
Gallardos Mexican Restaurant,"3248 18th St San Francisco, CA 94110",4.0,450,$$,Mexican,"{'latitude': 37.7620536, 'longitude': -122.4161007}",37.7620536,-122.4161007
Flores,"2030 Union St San Francisco, CA 94123",4.0,478,$$,Mexican,"{'latitude': 37.7976161048577, 'longitude': -122.432580590249}",37.7976161048577,-122.432580590249
Papito Hayes,"425 Hayes St Ste A San Francisco, CA 94102",4.0,674,$$,Mexican,"{'latitude': 37.776635, 'longitude': -122.423396}",37.776635,-122.423396
El Buen Comer,"3435 Mission St San Francisco, CA 94110",4.0,285,$$,Mexican,"{'latitude': 37.7418033906311, 'longitude': -122.422228}",37.7418033906311,-122.422228
Taqueria Los Coyotes,"3036 16th St San Francisco, CA 94103",4.0,886,$$,Mexican,"{'latitude': 37.7651299184884, 'longitude': -122.420415580273}",37.7651299184884,-122.420415580273
Californios,"3115 22nd St San Francisco, CA 94110",4.5,286,$$$$,Mexican,"{'latitude': 37.7556668827293, 'longitude': -122.416948840451}",37.7556668827293,-122.416948840451
El Rancho Grande,"855 Divisadero St San Francisco, CA 94117",4.0,358,$$,Mexican,"{'latitude': 37.77752, 'longitude': -122.43859}",37.77752,-122.43859
Mexican Grill,"641 Irving St San Francisco, CA 94122",4.0,64,$,Mexican,"{'latitude': 37.7640885, 'longitude': -122.4649267}",37.7640885,-122.4649267
Gracias Madre,"2211 Mission St San Francisco, CA 94110",4.0,3185,$$,Mexican,"{'latitude': 37.761606, 'longitude': -122.419241}",37.761606,-122.419241
Lucho's,"2675 Ocean Ave San Francisco, CA 94132",4.5,172,$$,Mexican,"{'latitude': 37.73193, 'longitude': -122.47434}",37.73193,-122.47434
Tommy's Mexican Restaurant,"5929 Geary Blvd San Francisco, CA 94121",3.5,1147,$$,Mexican,"{'latitude': 37.77985, 'longitude': -122.4831}",37.77985,-122.4831
Tacos El Patron,"1500 S Van Ness Ave Ste 100 San Francisco, CA 94110",4.5,62,$$,Mexican,"{'latitude': 37.748949, 'longitude': -122.416138}",37.748949,-122.416138
Tacorea,"809 Bush St San Francisco, CA 94108",4.5,1627,$$,Mexican,"{'latitude': 37.7897794, 'longitude': -122.410717}",37.7897794,-122.410717
Taqueria Dos Charros,"55 Cambon Dr San Francisco, CA 94132",4.0,230,$,Mexican,"{'latitude': 37.7182143688882, 'longitude': -122.474491011863}",37.7182143688882,-122.474491011863
Garaje,"475 3rd St San Francisco, CA 94107",4.5,1537,$$,Mexican,"{'latitude': 37.781752952057, 'longitude': -122.396121970462}",37.781752952057,-122.396121970462
Street Taco,"1607 Haight St San Francisco, CA 94117",4.0,579,$,Mexican,"{'latitude': 37.7696105177356, 'longitude': -122.448901621221}",37.7696105177356,-122.448901621221
The Castro Republic,"2295 Market St San Francisco, CA 94114",4.0,298,$$,Mexican,"{'latitude': 37.76443, 'longitude': -122.43241}",37.76443,-122.43241
Tia Margarita Mexican Restaurant,"300 19th Ave San Francisco, CA 94121",3.5,616,$$,Mexican,"{'latitude': 37.7821795234627, 'longitude': -122.478293426534}",37.7821795234627,-122.478293426534
The Taco Shop At Underdog's,"1824 Irving St San Francisco, CA 94122",4.0,1822,$$,Mexican,"{'latitude': 37.76378, 'longitude': -122.47765}",37.76378,-122.47765
Tacko,"3115 Fillmore St San Francisco, CA 94123",4.0,769,$$,Mexican,"{'latitude': 37.79824, 'longitude': -122.43601}",37.79824,-122.43601
Puerto Alegre,"546 Valencia St San Francisco, CA 94110",4.0,1077,$$,Mexican,"{'latitude': 37.76413, 'longitude': -122.4221}",37.76413,-122.4221
Mexico Tipico,"4581 Mission St San Francisco, CA 94112",4.0,241,$,Mexican,"{'latitude': 37.7249, 'longitude': -122.43429}",37.7249,-122.43429
Papito Potrero Hill,"317 Connecticut St San Francisco, CA 94107",4.0,681,$$,Mexican,"{'latitude': 37.762331217976, 'longitude': -122.39734047586}",37.762331217976,-122.39734047586
Chino's Taqueria,"3416 Balboa St San Francisco, CA 94121",4.0,446,$,Mexican,"{'latitude': 37.77603, 'longitude': -122.49559}",37.77603,-122.49559
El Toreador Restaurant,"50 W Portal Ave San Francisco, CA 94127",3.5,884,$$,Mexican,"{'latitude': 37.74046, 'longitude': -122.46663}",37.74046,-122.46663
Taqueria San Bruno,"1045 San Mateo Ave San Bruno, CA 94066",4.5,1110,$,Mexican,"{'latitude': 37.63532, 'longitude': -122.41174}",37.63532,-122.41174
El Rincón Yucateco,"491 O'farrell St San Francisco, CA 94102",4.5,175,$,Mexican,"{'latitude': 37.7857884764671, 'longitude': -122.412709593773}",37.7857884764671,-122.412709593773
Toma,"3318 Steiner St San Francisco, CA 94123",4.0,310,$,Mexican,"{'latitude': 37.80003, 'longitude': -122.43755}",37.80003,-122.43755
La Oaxaqueña,"2128 Mission St San Francisco, CA 94110",4.0,508,$,Mexican,"{'latitude': 37.76288, 'longitude': -122.41974}",37.76288,-122.41974
Cala,"149 Fell St San Francisco, CA 94102",3.5,456,$$$,Mexican,"{'latitude': 37.77599, 'longitude': -122.42036}",37.77599,-122.42036
Pancho's Salsa Bar & Grill,"3440 Geary Blvd San Francisco, CA 94118",3.0,436,$,Mexican,"{'latitude': 37.7814942598343, 'longitude': -122.456125840545}",37.7814942598343,-122.456125840545
